ward_section_concatenated,ward,section,month_name,month_number,dates,year,dates_list,date
0112,01,12,MAY,5,"1,2",2025,1,2025-05-01
0112,01,12,MAY,5,"1,2",2025,2,2025-05-02
0112,01,12,JUNE,6,"13,16",2025,13,2025-06-13
0112,01,12,JUNE,6,"13,16",2025,16,2025-06-16
0112,01,12,JULY,7,"29,30",2025,29,2025-07-29
0112,01,12,JULY,7,"29,30",2025,30,2025-07-30
0112,01,12,SEPTEMBER,9,"10,11",2025,10,2025-09-10
0112,01,12,SEPTEMBER,9,"10,11",2025,11,2025-09-11
0112,01,12,OCTOBER,10,"23,24",2025,23,2025-10-23
0112,01,12,OCTOBER,10,"23,24",2025,24,2025-10-24
0113,01,13,MAY,5,"5,6",2025,5,2025-05-05
0113,01,13,MAY,5,"5,6",2025,6,2025-05-06
0113,01,13,JUNE,6,"17,18",2025,17,2025-06-17
0113,01,13,JUNE,6,"17,18",2025,18,2025-06-18
0113,01,13,JULY,7,31,2025,31,2025-07-31
0113,01,13,AUGUST,8,1,2025,1,2025-08-01
0113,01,13,SEPTEMBER,9,"12,15",2025,12,2025-09-12
0113,01,13,SEPTEMBER,9,"12,15",2025,15,2025-09-15
0113,01,13,OCTOBER,10,"27,28",2025,27,2025-10-27
0113,01,13,OCTOBER,10,"27,28",2025,28,2025-10-28
0114,01,14,MAY,5,"7,8",2025,7,2025-05-07
0114,01,14,MAY,5,"7,8",2025,8,2025-05-08
0114,01,14,JUNE,6,"20,23",2025,20,2025-06-20
0114,01,14,JUNE,6,"20,23",2025,23,2025-06-23
0114,01,14,AUGUST,8,"4,5",2025,4,2025-08-04
0114,01,14,AUGUST,8,"4,5",2025,5,2025-08-05
0114,01,14,SEPTEMBER,9,"16,17",2025,16,2025-09-16
0114,01,14,SEPTEMBER,9,"16,17",2025,17,2025-09-17
0114,01,14,OCTOBER,10,"29,30",2025,29,2025-10-29
0114,01,14,OCTOBER,10,"29,30",2025,30,2025-10-30
0115,01,15,MAY,5,"9,12",2025,9,2025-05-09
0115,01,15,MAY,5,"9,12",2025,12,2025-05-12
0115,01,15,JUNE,6,"24,25",2025,24,2025-06-24
0115,01,15,JUNE,6,"24,25",2025,25,2025-06-25
0115,01,15,AUGUST,8,"6,7",2025,6,2025-08-06
0115,01,15,AUGUST,8,"6,7",2025,7,2025-08-07
0115,01,15,SEPTEMBER,9,"18,19",2025,18,2025-09-18
0115,01,15,SEPTEMBER,9,"18,19",2025,19,2025-09-19
0115,01,15,OCTOBER,10,31,2025,31,2025-10-31
0115,01,15,NOVEMBER,11,3,2025,3,2025-11-03
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,1,2025-04-01
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,2,2025-04-02
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,15,2025-04-15
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,16,2025-04-16
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,29,2025-04-29
0201,02,01,APRIL,4,"1,2,15,16,29,30",2025,30,2025-04-30
0201,02,01,MAY,5,"13,14,28,29",2025,13,2025-05-13
0201,02,01,MAY,5,"13,14,28,29",2025,14,2025-05-14
0201,02,01,MAY,5,"13,14,28,29",2025,28,2025-05-28
0201,02,01,MAY,5,"13,14,28,29",2025,29,2025-05-29
0201,02,01,JUNE,6,"11,12,26,27",2025,11,2025-06-11
0201,02,01,JUNE,6,"11,12,26,27",2025,12,2025-06-12
0201,02,01,JUNE,6,"11,12,26,27",2025,26,2025-06-26
0201,02,01,JUNE,6,"11,12,26,27",2025,27,2025-06-27
0201,02,01,JULY,7,"11,14,25,28",2025,11,2025-07-11
0201,02,01,JULY,7,"11,14,25,28",2025,14,2025-07-14
0201,02,01,JULY,7,"11,14,25,28",2025,25,2025-07-25
0201,02,01,JULY,7,"11,14,25,28",2025,28,2025-07-28
0201,02,01,AUGUST,8,"8,11,22,25",2025,8,2025-08-08
0201,02,01,AUGUST,8,"8,11,22,25",2025,11,2025-08-11
0201,02,01,AUGUST,8,"8,11,22,25",2025,22,2025-08-22
0201,02,01,AUGUST,8,"8,11,22,25",2025,25,2025-08-25
0201,02,01,SEPTEMBER,9,"8,9,22,23",2025,8,2025-09-08
0201,02,01,SEPTEMBER,9,"8,9,22,23",2025,9,2025-09-09
0201,02,01,SEPTEMBER,9,"8,9,22,23",2025,22,2025-09-22
0201,02,01,SEPTEMBER,9,"8,9,22,23",2025,23,2025-09-23
0201,02,01,OCTOBER,10,"8,7,21,22",2025,8,2025-10-08
0201,02,01,OCTOBER,10,"8,7,21,22",2025,7,2025-10-07
0201,02,01,OCTOBER,10,"8,7,21,22",2025,21,2025-10-21
0201,02,01,OCTOBER,10,"8,7,21,22",2025,22,2025-10-22
0201,02,01,NOVEMBER,11,"4,5,19,20",2025,4,2025-11-04
0201,02,01,NOVEMBER,11,"4,5,19,20",2025,5,2025-11-05
0201,02,01,NOVEMBER,11,"4,5,19,20",2025,19,2025-11-19
0201,02,01,NOVEMBER,11,"4,5,19,20",2025,20,2025-11-20
0202,02,02,APRIL,4,"3,4,17,18",2025,3,2025-04-03
0202,02,02,APRIL,4,"3,4,17,18",2025,4,2025-04-04
0202,02,02,APRIL,4,"3,4,17,18",2025,17,2025-04-17
0202,02,02,APRIL,4,"3,4,17,18",2025,18,2025-04-18
0202,02,02,MAY,5,"1,2,15,16,30",2025,1,2025-05-01
0202,02,02,MAY,5,"1,2,15,16,30",2025,2,2025-05-02
0202,02,02,MAY,5,"1,2,15,16,30",2025,15,2025-05-15
0202,02,02,MAY,5,"1,2,15,16,30",2025,16,2025-05-16
0202,02,02,MAY,5,"1,2,15,16,30",2025,30,2025-05-30
0202,02,02,JUNE,6,"2,13,16,30",2025,2,2025-06-02
0202,02,02,JUNE,6,"2,13,16,30",2025,13,2025-06-13
0202,02,02,JUNE,6,"2,13,16,30",2025,16,2025-06-16
0202,02,02,JUNE,6,"2,13,16,30",2025,30,2025-06-30
0202,02,02,JULY,7,"1,16,29,30",2025,1,2025-07-01
0202,02,02,JULY,7,"1,16,29,30",2025,16,2025-07-16
0202,02,02,JULY,7,"1,16,29,30",2025,29,2025-07-29
0202,02,02,JULY,7,"1,16,29,30",2025,30,2025-07-30
0202,02,02,AUGUST,8,"12,13,26,27",2025,12,2025-08-12
0202,02,02,AUGUST,8,"12,13,26,27",2025,13,2025-08-13
0202,02,02,AUGUST,8,"12,13,26,27",2025,26,2025-08-26
0202,02,02,AUGUST,8,"12,13,26,27",2025,27,2025-08-27
0202,02,02,SEPTEMBER,9,"10,11,24,25",2025,10,2025-09-10
0202,02,02,SEPTEMBER,9,"10,11,24,25",2025,11,2025-09-11
0202,02,02,SEPTEMBER,9,"10,11,24,25",2025,24,2025-09-24
0202,02,02,SEPTEMBER,9,"10,11,24,25",2025,25,2025-09-25
0202,02,02,OCTOBER,10,"8,9,23,24",2025,8,2025-10-08
0202,02,02,OCTOBER,10,"8,9,23,24",2025,9,2025-10-09
0202,02,02,OCTOBER,10,"8,9,23,24",2025,23,2025-10-23
0202,02,02,OCTOBER,10,"8,9,23,24",2025,24,2025-10-24
0202,02,02,NOVEMBER,11,"6,7,21,24",2025,6,2025-11-06
0202,02,02,NOVEMBER,11,"6,7,21,24",2025,7,2025-11-07
0202,02,02,NOVEMBER,11,"6,7,21,24",2025,21,2025-11-21
0202,02,02,NOVEMBER,11,"6,7,21,24",2025,24,2025-11-24
0203,02,03,APRIL,4,"7,8,21,22",2025,7,2025-04-07
0203,02,03,APRIL,4,"7,8,21,22",2025,8,2025-04-08
0203,02,03,APRIL,4,"7,8,21,22",2025,21,2025-04-21
0203,02,03,APRIL,4,"7,8,21,22",2025,22,2025-04-22
0203,02,03,MAY,5,"5,6,19,20",2025,5,2025-05-05
0203,02,03,MAY,5,"5,6,19,20",2025,6,2025-05-06
0203,02,03,MAY,5,"5,6,19,20",2025,19,2025-05-19
0203,02,03,MAY,5,"5,6,19,20",2025,20,2025-05-20
0203,02,03,JUNE,6,"3,4,17,18",2025,3,2025-06-03
0203,02,03,JUNE,6,"3,4,17,18",2025,4,2025-06-04
0203,02,03,JUNE,6,"3,4,17,18",2025,17,2025-06-17
0203,02,03,JUNE,6,"3,4,17,18",2025,18,2025-06-18
0203,02,03,JULY,7,"2,3,17,18",2025,2,2025-07-02
0203,02,03,JULY,7,"2,3,17,18",2025,3,2025-07-03
0203,02,03,JULY,7,"2,3,17,18",2025,17,2025-07-17
0203,02,03,JULY,7,"2,3,17,18",2025,18,2025-07-18
0203,02,03,AUGUST,8,"1,14,15,28,29",2025,1,2025-08-01
0203,02,03,AUGUST,8,"1,14,15,28,29",2025,14,2025-08-14
0203,02,03,AUGUST,8,"1,14,15,28,29",2025,15,2025-08-15
0203,02,03,AUGUST,8,"1,14,15,28,29",2025,28,2025-08-28
0203,02,03,AUGUST,8,"1,14,15,28,29",2025,29,2025-08-29
0203,02,03,SEPTEMBER,9,"12,15,26,29",2025,12,2025-09-12
0203,02,03,SEPTEMBER,9,"12,15,26,29",2025,15,2025-09-15
0203,02,03,SEPTEMBER,9,"12,15,26,29",2025,26,2025-09-26
0203,02,03,SEPTEMBER,9,"12,15,26,29",2025,29,2025-09-29
0203,02,03,OCTOBER,10,"10,14,27,28",2025,10,2025-10-10
0203,02,03,OCTOBER,10,"10,14,27,28",2025,14,2025-10-14
0203,02,03,OCTOBER,10,"10,14,27,28",2025,27,2025-10-27
0203,02,03,OCTOBER,10,"10,14,27,28",2025,28,2025-10-28
0203,02,03,NOVEMBER,11,"10,12",2025,10,2025-11-10
0203,02,03,NOVEMBER,11,"10,12",2025,12,2025-11-12
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,1,2025-04-01
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,2,2025-04-02
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,8,2025-04-08
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,9,2025-04-09
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,15,2025-04-15
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,16,2025-04-16
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,22,2025-04-22
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,23,2025-04-23
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,29,2025-04-29
0204,02,04,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,30,2025-04-30
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,6,2025-05-06
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,7,2025-05-07
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,13,2025-05-13
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,14,2025-05-14
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,20,2025-05-20
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,21,2025-05-21
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,27,2025-05-27
0204,02,04,MAY,5,"6,7,13,14,20,21,27,28",2025,28,2025-05-28
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,3,2025-06-03
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,4,2025-06-04
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,10,2025-06-10
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,11,2025-06-11
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,17,2025-06-17
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,18,2025-06-18
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,24,2025-06-24
0204,02,04,JUNE,6,"3,4,10,11,17,18,24,25",2025,25,2025-06-25
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,1,2025-07-01
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,2,2025-07-02
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,8,2025-07-08
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,9,2025-07-09
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,15,2025-07-15
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,16,2025-07-16
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,22,2025-07-22
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,23,2025-07-23
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,29,2025-07-29
0204,02,04,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,30,2025-07-30
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,5,2025-08-05
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,6,2025-08-06
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,12,2025-08-12
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,13,2025-08-13
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,19,2025-08-19
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,20,2025-08-20
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,26,2025-08-26
0204,02,04,AUGUST,8,"5,6,12,13,19,20,26,27",2025,27,2025-08-27
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,2,2025-09-02
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,3,2025-09-03
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,9,2025-09-09
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,10,2025-09-10
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,16,2025-09-16
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,17,2025-09-17
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,23,2025-09-23
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,24,2025-09-24
0204,02,04,SEPTEMBER,9,"2,3,9,10,16,17,23,24,30",2025,30,2025-09-30
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,1,2025-10-01
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,7,2025-10-07
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,8,2025-10-08
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,14,2025-10-14
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,15,2025-10-15
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,21,2025-10-21
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,22,2025-10-22
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,28,2025-10-28
0204,02,04,OCTOBER,10,"1,7,8,14,15,21,22,28,29",2025,29,2025-10-29
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,1,2025-04-01
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,2,2025-04-02
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,8,2025-04-08
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,9,2025-04-09
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,15,2025-04-15
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,16,2025-04-16
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,22,2025-04-22
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,23,2025-04-23
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,29,2025-04-29
0205,02,05,APRIL,4,"1,2,8,9,15,16,22,23,29,30",2025,30,2025-04-30
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,6,2025-05-06
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,7,2025-05-07
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,13,2025-05-13
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,14,2025-05-14
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,20,2025-05-20
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,21,2025-05-21
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,27,2025-05-27
0205,02,05,MAY,5,"6,7,13,14,20,21,27,28",2025,28,2025-05-28
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,3,2025-06-03
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,4,2025-06-04
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,10,2025-06-10
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,11,2025-06-11
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,17,2025-06-17
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,18,2025-06-18
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,24,2025-06-24
0205,02,05,JUNE,6,"3,4,10,11,17,18,24,25",2025,25,2025-06-25
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,1,2025-07-01
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,2,2025-07-02
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,8,2025-07-08
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,9,2025-07-09
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,15,2025-07-15
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,16,2025-07-16
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,22,2025-07-22
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,23,2025-07-23
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,29,2025-07-29
0205,02,05,JULY,7,"1,2,8,9,15,16,22,23,29,30",2025,30,2025-07-30
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,5,2025-08-05
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,6,2025-08-06
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,12,2025-08-12
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,13,2025-08-13
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,19,2025-08-19
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,20,2025-08-20
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,26,2025-08-26
0205,02,05,AUGUST,8,"5,6,12,13,19,20,26,27",2025,27,2025-08-27
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,2,2025-09-02
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,3,2025-09-03
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,10,2025-09-10
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,16,2025-09-16
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,17,2025-09-17
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,23,2025-09-23
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,24,2025-09-24
0205,02,05,SEPTEMBER,9,"2,3,10,16,17,23,24,30",2025,30,2025-09-30
